,alpha,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_RF
2021-12-08,,,,,,,
2021-12-09,,,,,,,
2021-12-10,,,,,,,
2021-12-13,,,,,,,
2021-12-14,,,,,,,
2021-12-15,,,,,,,
2021-12-16,,,,,,,
2021-12-17,,,,,,,
2021-12-20,,,,,,,
2021-12-21,,,,,,,
2021-12-22,,,,,,,
2021-12-23,,,,,,,
2021-12-27,,,,,,,
2021-12-28,,,,,,,
2021-12-29,,,,,,,
2021-12-30,,,,,,,
2021-12-31,,,,,,,
2022-01-03,,,,,,,
2022-01-04,,,,,,,
2022-01-05,,,,,,,
2022-01-06,,,,,,,
2022-01-07,,,,,,,
2022-01-10,,,,,,,
2022-01-11,,,,,,,
2022-01-12,,,,,,,
2022-01-13,,,,,,,
2022-01-14,,,,,,,
2022-01-18,,,,,,,
2022-01-19,,,,,,,
2022-01-20,,,,,,,
2022-01-21,,,,,,,
2022-01-24,,,,,,,
2022-01-25,,,,,,,
2022-01-26,,,,,,,
2022-01-27,,,,,,,
2022-01-28,,,,,,,
2022-01-31,,,,,,,
2022-02-01,,,,,,,
2022-02-02,,,,,,,
2022-02-03,,,,,,,
2022-02-04,,,,,,,
2022-02-07,,,,,,,
2022-02-08,,,,,,,
2022-02-09,,,,,,,
2022-02-10,,,,,,,
2022-02-11,,,,,,,
2022-02-14,,,,,,,
2022-02-15,,,,,,,
2022-02-16,,,,,,,
2022-02-17,,,,,,,
2022-02-18,,,,,,,
2022-02-22,,,,,,,
2022-02-23,,,,,,,
2022-02-24,,,,,,,
2022-02-25,,,,,,,
2022-02-28,,,,,,,
2022-03-01,,,,,,,
2022-03-02,,,,,,,
2022-03-03,,,,,,,
2022-03-04,,,,,,,
2022-03-07,,,,,,,
2022-03-08,,,,,,,
2022-03-09,,,,,,,
2022-03-10,,,,,,,
2022-03-11,,,,,,,
2022-03-14,,,,,,,
2022-03-15,,,,,,,
2022-03-16,,,,,,,
2022-03-17,,,,,,,
2022-03-18,,,,,,,
2022-03-21,,,,,,,
2022-03-22,,,,,,,
2022-03-23,,,,,,,
2022-03-24,,,,,,,
2022-03-25,,,,,,,
2022-03-28,,,,,,,
2022-03-29,,,,,,,
2022-03-30,,,,,,,
2022-03-31,,,,,,,
2022-04-01,,,,,,,
2022-04-04,,,,,,,
2022-04-05,,,,,,,
2022-04-06,,,,,,,
2022-04-07,,,,,,,
2022-04-08,,,,,,,
2022-04-11,,,,,,,
2022-04-12,,,,,,,
2022-04-13,,,,,,,
2022-04-14,,,,,,,
2022-04-18,,,,,,,
2022-04-19,,,,,,,
2022-04-20,,,,,,,
2022-04-21,,,,,,,
2022-04-22,,,,,,,
2022-04-25,,,,,,,
2022-04-26,,,,,,,
2022-04-27,,,,,,,
2022-04-28,,,,,,,
2022-04-29,,,,,,,
2022-05-02,-0.0009665923564186468,0.00856630622904878,0.020186127211112716,-0.006933876971168582,-0.009344457920371987,-0.01707297723961898,17.306341362125636
2022-05-03,-0.0019506650829378414,0.008437523580779715,0.022562496767765852,-0.009290021953895514,-0.00622456768011799,-0.014541742233006694,5.228631153511927
2022-05-04,4.539626387829038e-05,0.009514046404150767,0.023449128840565672,-0.0069656144190363145,-0.008699803383729804,-0.01585050481635425,21.767431192707555
2022-05-05,0.0012111587154000451,0.00930522764527817,0.02815952972562623,-0.007727792192715854,-0.004183876519506788,-0.016089244607329772,29.75827046384107
2022-05-06,0.0012298898823352618,0.009313389925763117,0.028180891327804547,-0.007746392685196224,-0.0042197500312628755,-0.016071360666758905,29.537903045051706
2022-05-09,0.0013680731039825145,0.009782914031786279,0.0264345103336575,-0.0066830600343521784,-0.007539524520662075,-0.0159046450638608,25.442506156071076
2022-05-10,0.001532865560088352,0.009897600665444706,0.026725380552690026,-0.004618903051616302,-0.006798901162420115,-0.018832301785199623,17.377135119819883
2022-05-11,0.0010514115178840919,0.010557692350075733,0.029085693867929363,-0.007691522149262164,-0.004367087394806915,-0.015190443082439359,10.001942054336617
2022-05-12,0.0020487823669438562,0.011399975538905205,0.030745679983321797,-0.007907921783402577,-0.0038175742464049284,-0.01417875818437106,6.395302822231585
2022-05-13,0.0020658838134315696,0.012987045587315393,0.0312708839030684,-0.010147575645782808,-0.008546052628738032,-0.01073750605133239,24.552084395087316
2022-05-16,0.0027205342173118457,0.012421517876334068,0.0306758950907889,-0.010406682562620173,-0.008168904480698957,-0.011493785491239306,19.564043446347867
2022-05-17,0.0026134597371041957,0.010728072675114879,0.026242623880632435,-0.011804985564987464,-0.007806901902540686,-0.01148880308804684,12.412066483161171
2022-05-18,0.003087384524502454,0.010438697503571095,0.025563533559994328,-0.011672058699741639,-0.008169206390264652,-0.012020949378631574,12.024208680210556
2022-05-19,0.0029881430942463386,0.010519629376283614,0.02561725219566842,-0.011757575096139034,-0.008000598650832871,-0.01184995491117305,11.89084685385179
2022-05-20,0.004709656871372574,0.009954375951851755,0.026502169948610516,-0.013662911191394622,-0.008734547930118353,-0.012391464199876134,9.064068390853798
2022-05-23,0.004577246845748617,0.010282896482699005,0.02575390333728217,-0.013498308994705777,-0.00893051376159526,-0.012017740534299354,10.359649067710471
2022-05-24,0.004616697304292171,0.010148506321158709,0.025357736587206664,-0.012858236005530543,-0.009853136405108293,-0.01348641575246634,8.426899507944078
2022-05-25,0.004716918753352135,0.009487352192046158,0.023757694784335676,-0.013742824595913194,-0.009926212030530443,-0.013080516438479073,6.644983330393636
2022-05-26,0.005626767822940113,0.010066883850170766,0.025900510924076012,-0.012171541862013635,-0.009533116006009923,-0.013448541350488341,2.8464649497460996
2022-05-27,0.004512710741417535,0.010219627526450035,0.024811738662813276,-0.013202597337132277,-0.010729427755936313,-0.01346927234737666,7.22667810232517
2022-05-31,0.0042553238008226635,0.010393967647771764,0.02535305923740712,-0.012909884631744611,-0.010899862826511536,-0.013672042000336948,6.712087296563389
2022-06-01,0.005212129444177918,0.012502427672060116,0.021080045817250787,-0.007479923482829193,-0.01058257491624981,-0.022488525972644835,-0.8511202291508582
2022-06-02,0.006787752476299619,0.012569863605127497,0.021869367920531804,-0.006435472395681319,-0.011179059049632262,-0.021611521144892065,-6.721369904246064
2022-06-03,0.008750028769176868,0.013445964006193089,0.020282141594261144,-0.005666149445597263,-0.010764717777666716,-0.02402316696191048,-10.266433680531744
2022-06-06,0.00921770170451738,0.013683882050448525,0.020607159338004416,-0.004237349147861003,-0.011206967156715653,-0.025340228604591508,-9.618590014841182
2022-06-07,0.01116477181420104,0.013751236976339551,0.02173563158768542,-0.0021289041341288617,-0.010140669639142175,-0.028122265878065822,-12.731454478905658
2022-06-08,0.010797756773774612,0.013878324343818322,0.02288082963697144,-0.0029386174501468687,-0.010259729789535002,-0.026548745663753426,-13.093786094336252
2022-06-09,0.010884907126022629,0.01369530577762337,0.023045759228288054,-0.005070570195678276,-0.008510045639694958,-0.024914616204994355,-12.20756408036088
2022-06-10,0.008413108968421172,0.012441413154365344,0.022907653098623373,-0.007997652856925719,-0.007066027072536368,-0.02037613057000759,-9.641833224772078
2022-06-13,0.008468082375513712,0.012079435201014526,0.022161951891505438,-0.008039314860028235,-0.007069053449897597,-0.021030734625436642,-9.224510970471155
2022-06-14,0.009937652312588918,0.011946442155692322,0.020819086572267387,-0.009644524125001885,-0.007081772818086668,-0.020945060702696416,-9.183122637190639
2022-06-15,0.009690942786379789,0.011457350597634102,0.023642376392693426,-0.00919098035084881,-0.006946662015516511,-0.02042395163358468,-11.091401897121827
2022-06-16,0.011026069429832523,0.010067469503612982,0.01780557280138334,-0.007453686452491781,-0.009692716107313426,-0.026239662539855546,-10.618140093062394
2022-06-17,0.010631115827302584,0.010478300353161073,0.01790106783871808,-0.0048091156609677554,-0.010362969328979593,-0.02882152397838278,-10.935405216054264
2022-06-21,0.011881971146596365,0.011374550601823607,0.014159084424337331,-0.003286263695010838,-0.012404567882988146,-0.030643841151134055,-10.255276069112924
2022-06-22,0.01206100079133303,0.01152697203729021,0.014386805347932866,-0.0026173005428828944,-0.013165603570319442,-0.0299037620085445,-10.948664616373009
2022-06-23,0.012479898460845538,0.011462510215738738,0.013750286068054555,-0.0030651259378418894,-0.01299053625029463,-0.030028666537144033,-11.109034480456732
2022-06-24,0.006157873489692066,0.009996720144520646,0.003783149153011728,-0.0005664645255102074,-0.0161824103882892,-0.030669498140437262,-8.54991620018762
2022-06-27,0.0028172634894704784,0.011266753159893362,0.012042689710431174,-0.004291073075770507,-0.013992964942753358,-0.01602003395813892,-3.4983127189246837
2022-06-28,0.004590383396394244,0.010275872084235043,0.013914325299216455,-0.00695820556545676,-0.014388589020673623,-0.01208826442412747,-3.9728436991572735
2022-06-29,0.00623800824583335,0.01022457258933376,0.015871995544122684,-0.006593875320472564,-0.01573253411282799,-0.01203337405023,-5.13633208099146
2022-06-30,0.007271464809631638,0.009990688048269636,0.014380843663306823,-0.007194385531808151,-0.016496805586525567,-0.01200364296559392,-5.702595186209239
2022-07-01,0.008589679936135491,0.009640700893795167,0.013398647726162359,-0.0073892576981379465,-0.016456212826028757,-0.0124207086923456,-6.57423033642921
2022-07-05,0.008945849247530821,0.010268441057099745,0.012125391220049228,-0.007365906690359067,-0.014455939392363601,-0.010000603323560564,-7.397961790112998
2022-07-06,0.009964073488280697,0.010023833390685657,0.007998713311927502,-0.009423598084119925,-0.014574555737720846,-0.00802210464290043,-7.079741498809728
2022-07-07,0.01143115160187222,0.01029446252903731,0.007110866883045054,-0.007414119859482329,-0.015138795937860078,-0.010118674204300265,-7.523631528980097
2022-07-08,0.010167482535650162,0.010339546983590964,0.006163689481244322,-0.008485130139360933,-0.015111524571094048,-0.008620363106719847,-6.9290591069870615
2022-07-11,0.00953108873481616,0.010390464490325197,0.005698546769791507,-0.008590362846227134,-0.014749274583078606,-0.00825058373228002,-6.5161805936941075
2022-07-12,0.008732472215400536,0.010567903283687972,0.008572199313633413,-0.010147374407293977,-0.013781896179767592,-0.004813086208864337,-5.732506553268671
2022-07-13,0.009589483935306193,0.01054277305639717,0.009120270308292447,-0.010050832028065351,-0.013802297980446271,-0.004591974263732063,-6.016707784074424
2022-07-14,0.009723753241535703,0.010563081137947909,0.008912613259747966,-0.01010823084518557,-0.013705964948462108,-0.004491029959106385,-6.000665703954496
2022-07-15,0.00878174528606952,0.010584250742851676,0.008643379311189116,-0.009887456231121888,-0.013964916172664356,-0.0043527536046912285,-5.531630346938522
2022-07-18,0.01063787818136075,0.01149898565993923,0.013325664395991303,-0.007963646699493176,-0.012084488704301663,-0.004450821914127379,-5.59848523980866
2022-07-19,0.00956355413685739,0.011582798137513244,0.013565867287025572,-0.007401081895093878,-0.012720876653162697,-0.005022260662042727,-5.229612641265311
2022-07-20,0.009854863184261934,0.011539926192556489,0.013333137933531448,-0.007872718791853153,-0.012444372625741301,-0.004296819498295773,-5.407188625962037
2022-07-21,0.01217232076519369,0.011527574155194014,0.01409282068162234,-0.008234007384682926,-0.012037164617029007,-0.004399999059960302,-6.388662321084455
2022-07-22,0.009975663444744867,0.011905528968583691,0.014089206274567972,-0.009532768948940284,-0.01052990145394507,-0.0016357814489532108,-5.247403942679223
2022-07-25,0.01337606256682816,0.011961533732308249,0.013063797728084449,-0.010631707554013187,-0.010520205673313743,0.00014710033881248918,-6.195700777708325
2022-07-26,0.011456044339222815,0.0114756251459596,0.01281934927058434,-0.009693628169497148,-0.01144157250491553,-0.0014981400124098876,-5.742744434679828
2022-07-27,0.011739664011771282,0.011538911148683531,0.013008784235241405,-0.009440812675089186,-0.011421496812872321,-0.001985510176026939,-5.744971462413291
2022-07-28,0.009576407558113169,0.011644277455947172,0.01297489339591753,-0.00992096908936635,-0.011055184901662393,-0.0006943902162004079,-5.015255659248543
2022-07-29,0.011361282966427258,0.012043494469658491,0.013535789671092098,-0.009297959692884633,-0.010948315917565885,-0.000513468317558774,-5.449772070269176
2022-08-01,0.005759273091225259,0.010827106402282478,0.014490557024651553,-0.010357463314578375,-0.01140278627626265,0.0005918978135760616,-3.593744164912371
2022-08-02,0.0037992686920920206,0.011926324117141042,0.015065619899409598,-0.01126456938686854,-0.010168744437317696,0.001256624659715544,-3.2467049028348316
2022-08-03,-0.00152129576329834,0.012035234849179158,0.014628314233471308,-0.01223902713639162,-0.011085823448305158,0.0021661601616296405,-1.149883518071188
2022-08-04,-0.00458431356600518,0.012087691967910954,0.010990119774450476,-0.013197527382087293,-0.017111950581175754,0.004568181669509147,-0.34632390962910353
2022-08-05,0.004266118766198644,0.011576274757169207,0.005537715050153956,-0.018639455522050097,-0.017761024782662962,0.009841438413967757,-3.024217408796268
2022-08-08,0.005485108602830821,0.01130834565092455,0.004991621028853907,-0.016229304550726742,-0.018323912319708598,0.008173472726446931,-2.9623174117603344
2022-08-09,0.003839249572911894,0.011414617940401836,0.0029842434794059222,-0.016119048020893714,-0.018707505690664393,0.00863958709110059,-2.478519683287306
2022-08-10,-0.008163123323197342,0.010605711338317418,0.008485192552731387,-0.008234669945557743,-0.009803370161860038,-0.000863648012741608,0.1388651807719523
2022-08-11,-0.007055694260065817,0.010827640120227168,0.009312463602964099,-0.008370416939292594,-0.009405884286838091,0.0005956359157275465,0.07734032629853627
2022-08-12,-0.004690052256160818,0.011565257195151874,0.011540083225405513,-0.007564768724852955,-0.009257644730153058,0.0003556025157948062,-0.41179671248521355
2022-08-15,-0.005950074746825443,0.012326108377488224,0.011445617084183863,-0.008475895144164705,-0.00822046532447461,0.0014251385465205851,-0.19587350188762853
2022-08-16,-0.009030934944206717,0.013011102984898645,0.011844276801629205,-0.009194082818591395,-0.006224802881413229,0.0027988152124906046,0.4188540029473215
2022-08-17,-0.00819977376730732,0.012995939504112758,0.012022105283830298,-0.009333564092119953,-0.006487918895629441,0.0029986514818202553,0.2107207711521153
2022-08-18,-0.00712596408041949,0.012748488716354126,0.011158657497872208,-0.009735215110457426,-0.007416635596847292,0.003364068933994463,-0.11626904592163911
2022-08-19,-0.0024379966776840196,0.013058127641385153,0.013215033784546866,-0.00798521414124985,-0.006929253697989003,0.0018882943398169927,-1.208521644724395
2022-08-22,-0.0019584928239637436,0.012958253390778003,0.013569278162803927,-0.00774064825988878,-0.007062791643241646,0.0017645327048362441,-1.2240837550149095
2022-08-23,-0.0005322105472513328,0.013408475438844002,0.013415186569385062,-0.007420980132476274,-0.007213586187660895,0.0017105309896184584,-1.3584865489796996
2022-08-24,-0.008435890925428728,0.01158257769547376,0.014931447430177849,-0.003881552177327885,-0.005986268035637898,-0.00436132987570087,-0.09630869306463197
2022-08-25,-0.009755022328665286,0.011993651383952227,0.015331943748510948,-0.003110053159063847,-0.005245923460647742,-0.005390877925161686,0.285713747064551
2022-08-26,-0.006054094529725985,0.011800291285726669,0.01560624888399836,-0.003849920672649984,-0.006265722273712394,-0.002601418049715573,-0.17884781169480712
2022-08-29,-0.006358125655106949,0.011815971680713307,0.015245224024312175,-0.004081349107552146,-0.006218756412915236,-0.0024191137020183884,-0.032278814333743355
2022-08-30,-0.0032520108320438033,0.010828958369946427,0.01697148264342335,-0.00415811658699812,-0.00787133780984256,-0.001185463123041533,-0.38074007983036307
2022-08-31,-0.003191665321383267,0.010817741290741756,0.017004851312892266,-0.004137185047345782,-0.007891227784372339,-0.0011897029939827303,-0.3725739905655798
2022-09-01,0.005703401159616499,0.0118412395960748,0.013572092245429733,-0.008651247338272827,-0.012674578236515056,0.008514175917902683,-1.5301094735824923
2022-09-02,0.009626575595986706,0.011321198832991234,0.011597930840139992,-0.009429126076362197,-0.01480468115574677,0.009680777562371568,-2.1129094692786494
2022-09-06,0.008799845731140921,0.010858423602155524,0.01130105142382222,-0.009159565486668193,-0.014639161654201857,0.008558528968964696,-1.8842831494418157
2022-09-07,0.00935926888586135,0.010574798901639279,0.011441271275691209,-0.00832837698340018,-0.014171041630885041,0.007416209664218132,-2.0719672851917794
2022-09-08,0.008948133825024818,0.010540117858780226,0.011174381413959749,-0.007921246221854972,-0.01436857722717591,0.006740094761929716,-1.9860430130434725
2022-09-09,0.007468246875523787,0.01095424317006879,0.011849319470098176,-0.0077489915998342485,-0.013649670929780547,0.006424915903796055,-1.6656895262911897
2022-09-12,0.010098407960099032,0.011714043853529931,0.01106980093555331,-0.008837288844434882,-0.013482003341787927,0.007160647286796065,-1.9198505614664265
2022-09-13,0.00686366854387602,0.014133215822456403,0.014208519652485867,-0.010131655062365214,-0.01259170623403522,0.01132431758387488,-1.4891974061044044
2022-09-14,0.00535281575292197,0.014574765616855355,0.012503083781223924,-0.009577000976744063,-0.014224049534792272,0.012087562546368197,-1.2400178094281324
2022-09-15,0.0016038462495762966,0.013707793488149548,0.015478190526872708,-0.008789748983267051,-0.012590792027623088,0.010270293896787352,-0.5544976672344728
2022-09-16,0.004618140597887056,0.013670065176401146,0.014994586193584021,-0.008151972216056083,-0.01527903126792484,0.009956166339085679,-1.1874647784889243
2022-09-19,0.0020660085471256064,0.014614927478928192,0.013478344703869466,-0.004031107798948774,-0.01866964486953998,0.009654328571097923,-0.9130099152174749
2022-09-20,0.0062276121774046955,0.016556345874421362,0.011522157065168695,-0.003305731116434646,-0.01986895314432096,0.010921660074630538,-1.4962171712381034
2022-09-21,-0.012562567866573893,0.012749163262883115,0.00842217239288607,-0.002360511653733799,-0.012583623444962569,-0.00496803084740613,0.9967255698506667
2022-09-22,-0.014980714731638547,0.012769805125722657,0.008401999540715327,-0.0034341766732126078,-0.011135728349124643,-0.005076707928329094,1.3618861553943784
2022-09-23,-0.01316545936487043,0.012093579108064363,0.008042165608959026,-0.004624322002607942,-0.008975045384148873,-0.006774661322272252,1.143434900754043
2022-09-26,-0.011157666108064415,0.01230865102742448,0.008280877176866416,-0.004399625798787235,-0.009381510970689302,-0.00605398438217275,0.8359213531396943
2022-09-27,-0.008773908680748885,0.012673210404159384,0.00742426803331768,-0.0039025796989295286,-0.01107975788734357,-0.00536069153612187,0.5885792786497834
2022-09-28,-0.004555485566335574,0.010915708933844772,0.00830316942931883,-0.006485238212383046,-0.00999503656533133,-0.006847360504077554,0.007763734509603992
2022-09-29,-0.009012728489796437,0.010733466077794504,0.010946452485997543,-0.005567448807762498,-0.008748754805024142,-0.007756945353483369,0.5823985289038145
2022-09-30,-0.009652979923470723,0.010065128682509625,0.012268933782889152,-0.0047953522817884425,-0.00867529283336832,-0.00920405047499355,0.7291681697729171
2022-10-03,-0.006316312533566598,0.00920078773172439,0.011569832548648684,-0.004956261640237908,-0.00955450448298948,-0.009804949494619533,0.2309008309808398
2022-10-04,-0.005820344390245258,0.009719252927430503,0.011260383801971453,-0.0046575472317442745,-0.01004305427304153,-0.00886843009045693,0.21701897944306037
2022-10-05,-0.008984482158090133,0.009698945912925926,0.009469856504164847,-0.00394120368117809,-0.010084098179567333,-0.011040837063193004,0.5731533495881012
2022-10-06,-0.011503119208093427,0.008987071867651951,0.011260368760118128,-0.0035226001962278125,-0.008281755158407456,-0.013678495659726966,0.9577032730368011
2022-10-07,-0.012849761919181087,0.008796276529202033,0.011890028738755928,-0.0034073086667788938,-0.00803759906719817,-0.013179959223974885,1.1715494517153533
2022-10-10,-0.011943272156368211,0.008880059627088363,0.010940420825410871,-0.003355375033326932,-0.009194887523272938,-0.01260550520983282,1.0275245589369124
2022-10-11,-0.017171165787081194,0.009430151706761801,0.009236090888183557,-0.005232688890185133,-0.009740037926969092,-0.010399824120594509,1.619789543065865
2022-10-12,-0.019939144776740254,0.009224411788313002,0.008587196332524263,-0.0051717338474780855,-0.00983579525363136,-0.010864919397365835,1.9626714671538048
2022-10-13,-0.017864320107735726,0.008672829385906666,0.009364251700282496,-0.00551627710050058,-0.009425328910413144,-0.011716139912399656,1.7026829706657232
2022-10-14,-0.01240921788051455,0.0086604237262546,0.008598883633315402,-0.006193232050468886,-0.00849375573381167,-0.013630714526394458,1.07437843114743
2022-10-17,-0.0161174618373712,0.007859703350068145,0.009495228587265953,-0.004766475441348228,-0.009238081684343251,-0.015253902058679297,1.345501041099629
2022-10-18,-0.01809760215910758,0.007790906391335093,0.009195439150365269,-0.0051472528003958795,-0.009214654924664292,-0.015276649486440308,1.5677569529335127
2022-10-19,-0.014727431965605706,0.007881496146053825,0.009827436074153754,-0.0052852231417092055,-0.00920300549313604,-0.014260586908207293,1.1993809297047076
2022-10-20,-0.012310784104558409,0.007977247305554713,0.011533415256832553,-0.004356690519071643,-0.008527759460535606,-0.014453889623367869,0.8473731426233222
2022-10-21,-0.014722735294883743,0.008055865962734637,0.011429738065008792,-0.004191564138146878,-0.008393978125288803,-0.014796848683193142,1.1258052568184702
2022-10-24,-0.007432457421690908,0.008381738961399965,0.009411772968584087,-0.0026184633574078686,-0.007300862456701432,-0.018150345294938752,0.4046389239501309
2022-10-25,-0.0060805474004542726,0.0084234752686586,0.008976172761042775,-0.0023257918046351023,-0.007468698005370339,-0.018064721676465972,0.23345302584739613
2022-10-26,-0.00921226389528193,0.008445967396982194,0.009837937608612679,-0.0025958374241404625,-0.010077806037073651,-0.01502760068884762,0.6078976826563185
2022-10-27,-0.01994225965490143,0.007355893538674406,0.011399703884099305,0.0033662058380760085,-0.007147223174695981,-0.02258049339431442,1.6144772898175006
2022-10-28,-0.023821834917244378,0.008170053114427332,0.012080328893788933,0.0030284785822040083,-0.006667490700397613,-0.020066559404610135,2.0043060465079066
2022-10-31,-0.01216254381248344,0.008423772840734619,0.0159439739866229,0.003721534546054797,-0.010057267880742182,-0.016715796973739372,0.857332636911444
2022-11-01,-0.01753964498940444,0.008284790537088412,0.01521050372586899,0.004212858341791206,-0.010052032385733774,-0.01773329025515523,1.4271300397141466
2022-11-02,-0.013147573042489702,0.008608916444998779,0.014965289014933117,0.004666046568053792,-0.010224390158790765,-0.017505346292459756,0.9606034331952387
2022-11-03,-0.0322449851440578,0.007332130807920445,0.016882835316198413,0.0039016949155324526,-0.008575964922512516,-0.021139313907861668,3.1248409603214284
2022-11-04,-0.033941071630024994,0.007114396217390741,0.01612860385175429,0.003137091089913127,-0.009087803206504402,-0.021102149772484063,3.2880510030045897
2022-11-07,-0.031017113544548364,0.006927514757077464,0.0161394488519519,0.004000129691728485,-0.00924472798914077,-0.022294774138347268,2.954958971369699
2022-11-08,0.02039075118764977,0.007627639176638532,0.0313087809179559,0.01073257989238266,-0.0038252616348902375,-0.02194909576900589,-2.720079061658822
2022-11-09,0.03624214786666774,0.009105798769259228,0.031188006930500778,0.015470481365426558,-0.004732601277841558,-0.025450972603484626,-4.416217954341853
2022-11-10,0.036702424919734966,0.00912076182540472,0.030799475257148004,0.015604142774220314,-0.004286157914639328,-0.026192421328806004,-4.438005977932036
2022-11-11,0.02186719026369202,0.00789247746921115,0.028199621111114265,0.018030186422363204,-0.0040859991632039225,-0.035245069470866724,-2.698853050513474
2022-11-14,0.03549015088048649,0.00874653956659591,0.02751046213526269,0.018250039485544906,-0.004205539171619336,-0.03392522773864545,-4.065787255217714
2022-11-15,0.030466666553616156,0.00832040709633454,0.028269230938505016,0.017402469934974296,-0.004376195325231959,-0.034074320132186864,-3.490421891301624
2022-11-16,0.03356549720630933,0.008384441568297723,0.02885867742988686,0.01813899034398342,-0.004455002502302494,-0.0347486698168151,-3.781394756437905
2022-11-17,0.03111414457235756,0.008199177551728937,0.03040200032623959,0.016400912658612987,-0.003541466687201719,-0.032970868581327695,-3.421209167393034
2022-11-18,0.029204976605737454,0.008012503403086525,0.030299766395365635,0.016256550623974575,-0.003824008760256438,-0.03285540868202075,-3.270012392667489
2022-11-21,0.03106944173105869,0.007755612447986561,0.030079489422429426,0.017395504617408408,-0.003957657174601503,-0.033905776358368084,-3.417905432281497
2022-11-22,0.026692925129730316,0.00775241329321218,0.02952889114065463,0.018536577658024828,-0.0037037959660314677,-0.035756925919063764,-3.0088690283055577
2022-11-23,0.017013818316095053,0.007677275584797607,0.02843042655564025,0.018792752551298558,-0.00486441213980722,-0.03668235847108836,-2.103516963235105
2022-11-25,0.02015966377518469,0.007739030920113567,0.0281671844842024,0.018172643179203696,-0.004504860223756627,-0.03625881732157438,-2.4140763732543356
2022-11-28,0.006862009660987267,0.006666434788213452,0.03266989800684367,0.02147779970466486,-0.004017836600769792,-0.04056951085372715,-1.2868264877762172
2022-11-29,0.011927124539648948,0.006586211146171089,0.03205243620891997,0.02284560647662187,-0.004186384960437901,-0.041964958190709556,-1.708992377406883
2022-11-30,0.00983829356672089,0.006777199170536012,0.03236954566783101,0.022268993025546635,-0.004369687399825812,-0.04111612185868657,-1.5296702827215967
2022-12-01,0.004091544136872738,0.006363499971593387,0.032390326774074066,0.022300697883157194,-0.0043745531506633635,-0.041986659027230644,-0.990730994292111
2022-12-02,0.005866046839665323,0.006397244608432873,0.029973557070784418,0.02471953707297167,-0.006109397841631135,-0.044808815337573166,-1.0734219469297734
2022-12-05,-0.0010929844102539055,0.005633608476978637,0.03107340218095632,0.01820665033208259,-0.0049395102564884115,-0.03848680579981939,-0.44903508113175405
2022-12-06,-0.0010284755259577505,0.005669638654577378,0.03054923259565019,0.017807756376827855,-0.005251108727280639,-0.03807535264956077,-0.4954058107938728
